id,Self+AC0-identity weight (alpha),Gender,Age of the household member,Income Quartile,Education Level,Personal net monthly income in Euros (incl. nettocat),Personal net monthly income in categories,Highest level of education irrespective of diploma,Highest level of education with diploma,Level of education in CBS (Statistics Netherlands) categories
800430,1,Male,19,1,2,0,No income,wo (university),+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-
800485,1,Female,61,3,2,1400,EUR 1001 to EUR 1500,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-
800497,1,Female,67,1,2,0,No income,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-
800500,1,Male,58,3,1,1561,EUR 1501 to EUR 2000,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,primary school,primary school
800503,0,Female,65,3,4,1600,EUR 1501 to EUR 2000,wo (university),wo (university),wo (university)
800509,1,Female,45,4,4,4200,EUR 4001 to EUR 4500,wo (university),wo (university),wo (university)
800552,1,Male,46,4,3,2250,EUR 2001 to EUR 2500,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-
800561,1,Female,21,1,2,0,No income,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-
800576,1,Male,72,4,4,2500,EUR 2001 to EUR 2500,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-
800601,1,Female,59,2,4,750,EUR 501 to EUR 1000,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-
800607,1,Female,60,4,4,2300,EUR 2001 to EUR 2500,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-
800616,1,Male,33,4,4,3500,EUR 3001 to EUR 3500,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-
