gender,age_group,incquart,educlevel,pmf for 0.0,pmf for 0.33,pmf for 0.67,pmf for 1.0
Male,60–69,3,3,0.25,0.3125,0.1875,0.25
Male,60–69,3,4,0.2222222222222222,0.4074074074074074,0.25925925925925924,0.1111111111111111
Male,60–69,4,1,0.0,0.0,0.5,0.5
Male,60–69,4,2,0.1,0.45,0.35,0.1
Male,60–69,4,3,0.23809523809523808,0.14285714285714285,0.5238095238095238,0.09523809523809523
Male,60–69,4,4,0.11267605633802817,0.4225352112676056,0.3380281690140845,0.1267605633802817
Male,70+,1,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Male,70+,1,2,0.0,0.18181818181818182,0.2727272727272727,0.5454545454545454
Male,70+,1,3,0.2,0.2,0.4,0.2
Male,70+,1,4,0.125,0.25,0.25,0.375
Male,70+,2,1,0.043478260869565216,0.21739130434782608,0.6086956521739131,0.13043478260869565
Male,70+,2,2,0.06382978723404255,0.2553191489361702,0.425531914893617,0.2553191489361702
Male,70+,2,3,0.16216216216216217,0.43243243243243246,0.24324324324324326,0.16216216216216217
Male,70+,2,4,0.15384615384615385,0.38461538461538464,0.23076923076923078,0.23076923076923078
Male,70+,3,1,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285
Male,70+,3,2,0.05555555555555555,0.25,0.6388888888888888,0.05555555555555555
Male,70+,3,3,0.08333333333333333,0.375,0.25,0.2916666666666667
Male,70+,3,4,0.11904761904761904,0.42857142857142855,0.30952380952380953,0.14285714285714285
Male,70+,4,1,0.0,0.0,0.5,0.5
Male,70+,4,2,0.1,0.2,0.65,0.05
Male,70+,4,3,0.07692307692307693,0.07692307692307693,0.5384615384615384,0.3076923076923077
Male,70+,4,4,0.0963855421686747,0.3855421686746988,0.42168674698795183,0.0963855421686747
