nomem_encr,nohouse_encr,diet,theta,beta,alpha
822378,542214,meat,.81481475,.5,.5
822418,506842,meat,.31851849,.5,.5
822479,523559,meat,.46296296,.75,.25
822540,578283,meat,.7037037,1,0
822744,585485,veg,1,1,0
822811,547097,meat,.37407398,.5,.5
822851,525857,meat,.45555559,.25,.75
822863,557125,meat,.87407398,.5,.5
823345,579150,veg,.54444438,1,0
823526,583602,meat,.73333329,.25,.75
823675,558843,meat,1,.5,.5
823718,551751,meat,.25555563,.75,.25
823944,565615,meat,.12962961,.75,.25
824090,567349,meat,.86666662,.75,.25
824237,596701,meat,.91851854,1,0
824414,520068,meat,.48518515,.75,.25
824484,546557,meat,.24074078,.5,.5
824551,560824,meat,.56296301,.75,.25
824597,566201,meat,.44444451,.5,.5
824633,580563,meat,.33333334,.5,.5
824682,540438,meat,.58148146,.5,.5
824810,597817,meat,.57777768,.75,.25
824841,544747,meat,.40740743,.5,.5
825302,510159,meat,.11481476,.5,.5
825674,566687,meat,.33333334,.5,.5
825787,548522,meat,-1,.5,.5
825903,503213,meat,.36666664,.75,.25
826040,572567,meat,.6703704,.75,.25
826065,532952,meat,.21111107,.25,.75
826391,520462,meat,.54074079,.5,.5
826486,516299,meat,.75925922,.75,.25
826580,513342,meat,.15925916,.75,.25
826672,569796,meat,.66666669,.5,.5
827038,559307,meat,.40740743,.75,.25
827075,567141,meat,.059259254,.75,.25
827145,589056,meat,-.19629629,.75,.25
827215,502481,meat,.84444445,.5,.5
827819,514801,meat,.31111112,.5,.5
827877,511581,meat,.52222222,.75,.25
828012,535922,meat,.9333334,1,0
828030,521380,meat,.4148148,.75,.25
828161,559091,meat,.7037037,.5,.5
828335,553768,meat,.71111107,.5,.5
828363,516558,meat,.27777782,1,0
828414,560208,meat,.43703699,.5,.5
828475,557537,meat,.50370377,.75,.25
828491,508676,meat,-.14074071,.75,.25
828579,508914,meat,.04074065,.75,.25
828613,534808,meat,.8629629,.75,.25
828665,513760,meat,1,1,0
828768,571563,meat,.26296297,.5,.5
829061,552252,meat,-.14444447,.5,.5
829199,578283,meat,.09629631,.5,.5
829251,565414,meat,1,.5,.5
829299,555075,meat,.66666669,.75,.25
829412,565805,meat,.55925924,.5,.5
829693,572525,meat,.33333334,.25,.75
830004,520562,meat,.72592592,.5,.5
830020,510525,meat,.62962961,.75,.25
830255,520645,meat,.28518519,.5,.5
830343,524435,meat,.68518513,1,0
830673,539389,meat,.4666667,.75,.25
830856,590182,meat,.5,.75,.25
830877,597381,meat,.048148155,.5,.5
831124,561398,meat,1,1,0
831259,532083,meat,.32592598,.75,.25
831262,550823,meat,.72592592,1,0
831359,543188,meat,.12962961,.5,.5
831478,528228,meat,.4333334,.75,.25
831677,537615,meat,.22962968,.5,.5
831848,505361,meat,1,0,1
831936,545935,meat,.3148149,.75,.25
831967,503359,meat,.7703703,.5,.5
832012,592626,meat,.11111116,.5,.5
832067,520333,meat,.85925931,.5,.5
832141,532171,meat,.54074079,.5,.5
832205,566995,meat,.66666669,.75,.25
832244,573114,meat,.45925918,.5,.5
832614,505862,meat,.65925932,.75,.25
832830,548681,meat,.86666662,.75,.25
832986,596524,meat,.062963009,.75,.25
833123,599447,meat,-.081481457,.5,.5
833132,592874,meat,.58518523,.75,.25
833581,518969,meat,-.16296299,.75,.25
833639,576434,meat,.84074068,1,0
833795,549243,meat,-.09629631,1,0
833895,575305,meat,.85185176,.75,.25
833923,540643,meat,.38518524,.25,.75
834231,578482,meat,.65925932,.5,.5
834292,526965,meat,.64074069,.75,.25
834356,583068,meat,.4481481,.5,.5
834771,508032,meat,.57037038,.75,.25
834780,503036,meat,.7037037,.75,.25
834848,545724,meat,0,.25,.75
834890,502572,meat,.39629635,.5,.5
834924,553948,meat,.47777781,.5,.5
834954,575305,meat,.60370368,.5,.5
834982,566455,meat,.45185184,.5,.5
835125,554901,meat,.24814813,.5,.5
835208,557397,meat,.55555552,.75,.25
835299,564352,meat,.762963,.75,.25
835403,580123,veg,.17407401,.75,.25
835427,505496,meat,.60000008,.5,.5
835522,575689,meat,.75925922,.75,.25
835571,569097,meat,.4333334,.25,.75
835647,592337,meat,.51851845,0,1
835839,500457,meat,-.099999987,.5,.5
835842,546411,meat,.40740743,.75,.25
835858,568191,meat,.088888802,.25,.75
836129,505215,meat,-.42592588,.5,.5
836221,568484,meat,.41851854,.75,.25
836303,535922,meat,.5,.75,.25
836428,532498,meat,-.15185182,.25,.75
836529,577139,meat,.26296297,.75,.25
836563,591891,meat,-.029629627,.25,.75
837142,553363,meat,.30370378,.25,.75
837280,581579,meat,.80740738,.75,.25
837289,597552,meat,.16296291,.75,.25
837429,535665,meat,.27407408,.5,.5
837591,594891,meat,.48148155,.75,.25
837594,516772,meat,.4148148,.25,.75
837625,546362,meat,.90740746,.5,.5
838156,531460,meat,.66666669,.5,.5
838296,502972,meat,.92222232,.5,.5
838494,550488,meat,.62962961,.75,.25
838653,590948,meat,.86666662,.5,.5
838754,543682,meat,.12962961,.75,.25
838851,599426,meat,.5666666,.75,.25
839031,512420,meat,-.070370354,.5,.5
839526,513934,meat,-.48518515,.5,.5
839657,524465,meat,.9333334,.75,.25
839694,524194,meat,.73333329,.5,.5
839739,501702,meat,.96296293,1,0
839978,528332,meat,.6370371,.5,.5
840023,599447,meat,.025925955,.25,.75
840112,570159,meat,0,.5,.5
840185,500805,meat,.35555553,.75,.25
