run,t,assortativity,clustering,transitivity,mean_degree
0,310000,-0.0506110335233781,0.3458269918761749,0.1079099729286462,7.99
1,310000,-0.0388761032070298,0.3301507647459994,0.1066520573985822,7.99
2,310000,-0.0549793187569488,0.3327654800265257,0.102541176771128,7.99
3,310000,-0.0528238411845031,0.3355168084205234,0.1055020408163265,7.99
4,310000,-0.0398048030167932,0.3462089024968083,0.1099332054758283,7.99
5,310000,-0.0554700324981057,0.3444889847914938,0.1076795157481624,7.99
6,310000,-0.0442678889089046,0.3389152133726371,0.1033878949371907,7.99
7,310000,-0.0517842589472086,0.3394714223121157,0.1018772649336456,7.99
8,310000,-0.0457435901966619,0.3334769938012878,0.1067833813419111,7.99
9,310000,-0.0522325932882906,0.339493847052466,0.097012177012177,7.99
10,310000,-0.0459165536824855,0.3441104736058425,0.1012742960665704,7.99
11,310000,-0.0585686597861975,0.3373208456571256,0.1011128417812975,7.99
12,310000,-0.0417855185056118,0.3371528372467282,0.1054911158949972,7.99
13,310000,-0.0386925541204856,0.3389640122463836,0.1105039304042226,7.99
14,310000,-0.04688487574653,0.3415993179705619,0.0990121117393954,7.99
15,310000,-0.0532120904371585,0.3379573312668322,0.1024265886129732,7.99
16,310000,-0.054063761686305,0.3338721044086268,0.0994082187752701,7.99
17,310000,-0.0543688328608041,0.3349907160608621,0.1048790455987388,7.99
18,310000,-0.04762955080135,0.3377637035468753,0.1044192039706022,7.99
19,310000,-0.0507051727379361,0.3380418731360098,0.103591186600373,7.99
20,310000,-0.0525878180678692,0.3341774635537586,0.1022802998089701,7.99
21,310000,-0.0510694669679111,0.3378590178917401,0.1002146399230256,7.99
22,310000,-0.0523229633835911,0.336094914408733,0.0988181261481935,7.99
23,310000,-0.0545769164602118,0.3439461322371951,0.1003479116195194,7.99
24,310000,-0.0460671421092474,0.3422293154432987,0.1046994966187013,7.99
25,310000,-0.0500051943097818,0.3327936103688096,0.1001331624208181,7.99
26,310000,-0.0593657724217122,0.3418929457736803,0.0981282678335632,7.99
27,310000,-0.058738316336163,0.3432143389449583,0.100470265199754,7.99
28,310000,-0.0493421572668578,0.3436452445973666,0.1025645843118835,7.99
29,310000,-0.0422533439186659,0.3331642267747391,0.1045583227877001,7.99
30,310000,-0.0525031946093775,0.3354319739964327,0.1060974152694253,7.99
31,310000,-0.0475337005728935,0.3351674898464484,0.0990810307357963,7.99
32,310000,-0.0432938791817827,0.3335173291333126,0.1004460929276728,7.99
33,310000,-0.0594203279078379,0.3435193254722633,0.1036994307592834,7.99
34,310000,-0.0459316778768413,0.3409179449660435,0.1018656922991751,7.99
35,310000,-0.0433157401191898,0.3396422717154193,0.1059520440453832,7.99
36,310000,-0.0492082294934509,0.3348474798044318,0.106361540101149,7.99
37,310000,-0.0374282329025139,0.331361872406225,0.1056404230317273,7.99
38,310000,-0.049510474827108,0.3365866092940662,0.1023563688407278,7.99
39,310000,-0.0411371191982128,0.339267896900308,0.109099527314382,7.99
40,310000,-0.0505117782962157,0.3416945013699536,0.1057092491527518,7.99
41,310000,-0.0461967798341124,0.3373315900370605,0.1018987579271267,7.99
42,310000,-0.050026539390957,0.3390764706455162,0.0993606770594808,7.99
43,310000,-0.0582107449540652,0.33437742117948,0.0949081890478907,7.99
44,310000,-0.0452585551822534,0.3469029755084846,0.106643899410121,7.99
45,310000,-0.0521841367370666,0.3476084823667347,0.102027602027602,7.99
46,310000,-0.0481401295922529,0.3336655660520138,0.1068757810382105,7.99
47,310000,-0.0487485086708786,0.3367824793258838,0.1071876015034105,7.99
48,310000,-0.0396824673831212,0.3390163201317832,0.1060661500463912,7.99
49,310000,-0.0480661728808851,0.338486443956601,0.1041588367180311,7.99
