run,t,n_meat,n_adopted,n_pos,adopt_pr2_psych,amp_r2_psych,adopt_pr2_topo,amp_r2_topo,adopt_pr2_full,amp_r2_full,ratio_psych,ratio_topo,ratio_full,amp_coef_degree,amp_sig_degree,ado_coef_degree,ado_sig_degree,amp_rho_degree,amp_rho_sig_degree,ado_rpb_degree,ado_rpb_sig_degree,amp_coef_betweenness,amp_sig_betweenness,ado_coef_betweenness,ado_sig_betweenness,amp_rho_betweenness,amp_rho_sig_betweenness,ado_rpb_betweenness,ado_rpb_sig_betweenness,amp_coef_eigenvector,amp_sig_eigenvector,ado_coef_eigenvector,ado_sig_eigenvector,amp_rho_eigenvector,amp_rho_sig_eigenvector,ado_rpb_eigenvector,ado_rpb_sig_eigenvector,amp_coef_clustering,amp_sig_clustering,ado_coef_clustering,ado_sig_clustering,amp_rho_clustering,amp_rho_sig_clustering,ado_rpb_clustering,ado_rpb_sig_clustering,amp_coef_complex_cent,amp_sig_complex_cent,ado_coef_complex_cent,ado_sig_complex_cent,amp_rho_complex_cent,amp_rho_sig_complex_cent,ado_rpb_complex_cent,ado_rpb_sig_complex_cent,amp_coef_rho,amp_sig_rho,ado_coef_rho,ado_sig_rho,amp_rho_rho,amp_rho_sig_rho,ado_rpb_rho,ado_rpb_sig_rho,amp_coef_alpha,amp_sig_alpha,ado_coef_alpha,ado_sig_alpha,amp_rho_alpha,amp_rho_sig_alpha,ado_rpb_alpha,ado_rpb_sig_alpha,amp_coef_theta,amp_sig_theta,ado_coef_theta,ado_sig_theta,amp_rho_theta,amp_rho_sig_theta,ado_rpb_theta,ado_rpb_sig_theta,n_isolated_with_credit,b,b_lo,b_hi,b_sublinear,b_superlinear
0,310000,1880,1371,1751,0.0660234393674246,0.0221549544761074,0.0041671165920958,0.3734877568679028,0.0693630499917549,0.3898494995064906,0.3355619563048476,89.6273834949391,5.620420375874929,1.369357994535355,True,-0.1549083050718151,False,0.6080509963680392,True,0.0115337004980956,False,-0.9099724357718196,True,0.0232536319962566,False,0.5411797471118507,True,0.0213912926199329,False,0.0411553959929533,False,0.2196148608586721,False,0.3374104481531939,True,0.0366900239047963,False,-0.1480347104078704,True,0.0974379060285667,False,-0.4614358934653159,True,0.0260385361559529,False,0.0663282619133121,True,-0.0467822648149492,False,-0.2881991437745523,True,-0.0236005186253927,False,0.0312405693034664,False,0.3043271749976909,True,0.0778409744392086,True,0.1738658720042487,True,0.0970464240646617,True,-0.3256141855078776,True,0.1275351682025254,True,-0.1131878715221451,True,0.0974648883978591,True,0.4275504499709148,True,0.0930566134366322,True,0.2111084035904681,True,0,1.2042408695684037,1.1339922063083336,1.2744895328284738,False,True
1,310000,1880,1382,1740,0.0633781286576468,0.0309310563704834,0.0018174645388081,0.3779038982486916,0.0644072240178869,0.4023224216695333,0.4880399125945396,207.92917285556,6.246541871728582,1.4795564225516875,True,-0.0374541338181291,False,0.6339028756492102,True,0.0257373618832341,False,-0.922903328872012,True,-0.0301168391668679,False,0.5705618136727374,True,0.018721910594157,False,-0.0856892228489369,False,0.1032005281625285,False,0.3507414723794276,True,0.0314225864770903,False,-0.1465648659008935,True,-0.0483082925282576,False,-0.4662482185586126,True,-0.0360057339542996,False,0.0499416798266251,False,-0.010173558299067,False,-0.3044619195303129,True,-0.027452746149455,False,0.0489007166674273,True,0.3511563586721729,True,0.0957159058301758,True,0.1843063171602248,True,0.1351155121730938,True,-0.3551851301429164,True,0.1408897198953115,True,-0.1247395951272905,True,0.0928759397129805,True,0.350414400281863,True,0.1057132146535215,True,0.180954200205142,True,2,1.2015096445136753,1.1312220095843473,1.2717972794430032,False,True
2,310000,1880,1363,1748,0.0659928083854102,0.0337222368283935,0.0013274400087284,0.341661979778208,0.0668526218734141,0.3663623996472183,0.5109986626338053,257.3841209633967,5.480150058152213,1.40103626986685,True,0.1074792532959577,False,0.5815249251697338,True,0.0265647415487334,False,-0.8339668245913776,True,-0.0382597990993226,False,0.5074367537877016,True,0.020770060588675,False,-0.0972425234385145,False,-0.020075003815126,False,0.3061628751547707,True,0.0157118125009122,False,-0.1213970297400141,True,-0.0166593149578587,False,-0.4276174267672289,True,-0.010623142471535,False,0.0333430690572832,False,0.0565238754068765,False,-0.2743987096499947,True,0.0173630778812579,False,0.096830332233466,True,0.3027360075761101,True,0.1451815315626806,True,0.1727188405372538,True,0.0767933302615435,True,-0.3684999085349564,True,0.1173830186629517,True,-0.126956768036654,True,0.1129860688245328,True,0.4063834917474518,True,0.1218085351185348,True,0.2018553943426371,True,0,1.186127275726664,1.11351465290799,1.2587398985453382,False,True
3,310000,1880,1370,1735,0.084081531057363,0.0254373484429887,0.0019872220752744,0.3279895781893168,0.0874789396352863,0.3492941024471822,0.3025319368368134,165.04928275015098,3.9928936484992295,1.4391255612145828,True,-0.352760609389071,False,0.6144238585113738,True,0.0253166776402312,False,-0.9011458220742062,True,0.1513643906181863,False,0.5490634018651639,True,0.0298760594190613,False,-0.0422308603989993,False,0.3011796618233281,True,0.3297213815776927,True,0.037920021123392,False,-0.1615738836690512,True,-0.0610368984934324,False,-0.4489869522506116,True,-0.015068911223219,False,0.1190302945163471,True,0.0277506910770587,False,-0.2783326579637289,True,-0.020488712075052,False,0.0848879114089166,True,0.4221796610975247,True,0.1165187745519822,True,0.2134099763391656,True,0.1034659458639095,True,-0.4228996357911506,True,0.1316517102047973,True,-0.1416041742011796,True,0.1033727204663261,True,0.4171858786680394,True,0.1051930424163166,True,0.2086013420750212,True,0,1.2540433374553168,1.1756864378040668,1.3324002371065669,False,True
4,310000,1880,1345,1714,0.0580326917465897,0.0260026123369896,0.0024219395413276,0.3294544048426073,0.0601817996637625,0.354664803283706,0.4480683482774631,136.02916143068148,5.893223620184645,1.2495561394750527,True,0.0773517448908471,False,0.5787402598670698,True,0.0148487023595817,False,-0.7964727526267623,True,-0.2267003196842516,False,0.5401651236310419,True,0.006725149012822,False,0.0052291855212973,False,0.222920135516688,False,0.3194411990261003,True,0.0255062604332836,False,-0.1743400098658167,True,0.0012367711804124,False,-0.4845511219729004,True,-0.0011063923018938,False,0.0228995095603786,False,0.1001890591465666,False,-0.2930346113224843,True,0.0074116536724324,False,0.0830375321369987,True,0.3207358887108241,True,0.1107526875377098,True,0.1768766992355951,True,0.1476756942154093,True,-0.3130501003287217,True,0.140632842731535,True,-0.1119330681702519,True,0.0606598293992457,True,0.361242942762001,True,0.0558698521416318,True,0.1876079977409125,True,0,1.1782957252212558,1.1009511053360317,1.25564034510648,False,True
5,310000,1880,1352,1753,0.0610770577191789,0.0293104200419767,0.0037162898601759,0.3495348356193291,0.0654894065276311,0.3756417218200122,0.4798924692269988,94.05478279963434,5.7359158028332775,1.3499361209919731,True,-0.2090709857980071,False,0.5705764121000421,True,-0.0560823957596658,True,-0.8538482840663678,True,0.0394880487475342,False,0.5163584769151303,True,-0.0570114920210657,True,-0.0269697736335742,False,-0.0120667121791744,False,0.3191551642803172,True,-0.0546835044656321,True,-0.1500565790266591,True,-0.0709408598310856,False,-0.4734295599888249,True,-0.0067599778374386,False,0.0699657074812137,True,-0.0378097684441227,False,-0.2878890980125203,True,-0.0078538864824911,False,0.1116553833432806,True,0.4228360931598231,True,0.1339894145357205,True,0.2051327496293801,True,0.1164868838171594,True,-0.3177794030087775,True,0.1195369233558854,True,-0.1139107929906722,True,0.0572385168725401,True,0.284658140892492,True,0.0658066291929634,True,0.164751333437481,True,1,1.1435227808550223,1.072253781210635,1.2147917804994095,False,True
6,310000,1880,1365,1776,0.0670199417889384,0.0285982721159244,0.0033153262783558,0.3543314520485047,0.0706640070268662,0.3764659262073935,0.4267128760867498,106.87679651977622,5.327548522181345,1.333391191094538,True,-0.1286793732017088,False,0.5779512128548072,True,0.0253803203294323,False,-0.963094989462444,True,0.2445939918899392,False,0.5270378559108234,True,0.0262754152684159,False,0.1168779637209803,True,-0.0825340605494556,False,0.3487404746047655,True,0.0147720211966622,False,-0.1212066923701251,True,-0.1517488880993782,True,-0.4381266986831008,True,-0.0402064030632791,False,0.0989592216838643,True,0.0883236559813095,False,-0.2991037516020506,True,0.0178309386182359,False,0.0658584764189325,True,0.3741915044918169,True,0.1139246936522964,True,0.1958047861669272,True,0.1243611355389453,True,-0.3390097862098897,True,0.1565450457368983,True,-0.1178912877231498,True,0.0690962519815522,True,0.3724607699798784,True,0.103214225552308,True,0.1929415325125571,True,0,1.1395786849329723,1.0699845167319453,1.2091728531339994,False,True
7,310000,1880,1269,1517,0.0586442907957918,0.0367620000532689,0.0045949253530164,0.2724466155838385,0.0630082206823728,0.3123927736033022,0.6268640911914117,59.29293615292054,4.957968503476514,1.2963398362998066,True,-0.0718838666974742,False,0.5343487514462414,True,0.047150104023057,True,-0.7923108819372167,True,-0.0956706094974644,False,0.4904040671470833,True,0.0410302360841709,False,-0.0682281941290182,False,0.326634245888889,True,0.2893312867948917,True,0.0641162741609925,True,-0.2149208008057624,True,0.0172775697553071,False,-0.4278162600636672,True,-0.0200542628390829,False,0.052531212622775,False,0.0043248458977113,False,-0.2592156111538836,True,-0.0279260624487579,False,0.0371337819623028,False,0.2042521848967814,True,0.0849371338397688,True,0.1510557635911382,True,0.2033100715179058,True,-0.2421311521907491,True,0.1864206273374794,True,-0.0845092835399585,True,0.1311866150255118,True,0.4802428964443114,True,0.0908777779997216,True,0.2336444057319278,True,0,1.1092034012360823,1.0203728164970671,1.1980339859750977,False,True
8,310000,1880,1383,1757,0.0630063054541405,0.0318293994712769,0.0023453509198884,0.3779956084128658,0.0654176808587628,0.4016951778648608,0.5051780015008837,161.1680389520773,6.140468029310347,1.2243036584653195,True,-0.3603729035714896,False,0.6254378976164484,True,0.008418201756754,False,-0.773683760481719,True,0.3858676625862238,False,0.5593842016774195,True,0.0239858691791097,False,-0.0092993502697063,False,0.0792808200969974,False,0.3638311571033713,True,0.0213310861707178,False,-0.2538464309776998,True,-0.0161921143688273,False,-0.5033718670776717,True,0.0070323782753661,False,0.0888023282238052,True,0.0156521986591991,False,-0.3196936553537512,True,-0.0047214274831066,False,0.0312597670631984,False,0.2658611249178518,True,0.0973194399922723,True,0.1552993299712926,True,0.1445740208551386,True,-0.388839968064172,True,0.1583923806537117,True,-0.1340873604870219,True,0.0849687309819023,True,0.4086226604038702,True,0.0853326036306639,True,0.1940514746440284,True,1,1.2170857987821055,1.1461784334287537,1.2879931641354576,False,True
9,310000,1880,1371,1770,0.09691632905379,0.0375337466544229,0.0033762327897116,0.3498929457262677,0.1009637409306889,0.3761741709175136,0.387279904437891,103.63412937416236,3.725834318834869,1.275305852234336,True,0.0402777470028031,False,0.592443885752726,True,0.009552266492513,False,-0.9000552710413127,True,-0.2791156445161135,False,0.5318703740045451,True,-0.0059191353065138,False,0.0741740824326809,False,0.2676513641277149,False,0.3241664788070524,True,0.00901414414239,False,-0.1587734034705637,True,-0.0543358271810813,False,-0.4536434822439763,True,-0.0094653716282277,False,0.1047371452550614,True,0.1481695347193279,True,-0.2658564426747797,True,0.0339092098644303,False,0.0609219062172984,True,0.4218280298257323,True,0.1152117476913029,True,0.2115601749814942,True,0.1370011961154724,True,-0.541083212362536,True,0.1398685593912292,True,-0.1785366399931161,True,0.0882101939935093,True,0.429967164661528,True,0.1095397568605315,True,0.2087008516329541,True,0,1.1874499917165335,1.1171438979677253,1.2577560854653418,False,True
