run,n_credited,rho_rank,r_log,top10_jaccard,initveg_top1_event,initveg_top10_event,initveg_share_event,mean_conv_event,mean_initveg_event,median_conv_event,initveg_top1_time,initveg_top10_time,initveg_share_time,mean_conv_time,mean_initveg_time,median_conv_time,own_med_acts,own_lt1_act,own_lt5_act,own_frac_window_med,own_conv_med_acts,sys_time,t_half,early_mean_event,late_mean_event,early_med_event,late_med_event,early_mean_time,late_mean_time,early_med_time,late_med_time,w200000_mean_time,w200000_med_time,w200000_sys_time,w200000_gini_time,w200000_mean_event,w200000_sys_event,w250000_mean_time,w250000_med_time,w250000_sys_time,w250000_gini_time,w250000_mean_event,w250000_sys_event,w310000_mean_time,w310000_med_time,w310000_sys_time,w310000_gini_time,w310000_mean_event,w310000_sys_event,w350000_mean_time,w350000_med_time,w350000_sys_time,w350000_gini_time,w350000_mean_event,w350000_sys_event,w400000_mean_time,w400000_med_time,w400000_sys_time,w400000_gini_time,w400000_mean_event,w400000_sys_event,lam0.5_mean,lam0.5_median,lam0.5_p90,lam0.5_p99,lam0.5_max,lam0.5_gini,lam0.5_top1,lam0.5_top10,lam0.5_sys,lam0.6_mean,lam0.6_median,lam0.6_p90,lam0.6_p99,lam0.6_max,lam0.6_gini,lam0.6_top1,lam0.6_top10,lam0.6_sys,lam0.7_mean,lam0.7_median,lam0.7_p90,lam0.7_p99,lam0.7_max,lam0.7_gini,lam0.7_top1,lam0.7_top10,lam0.7_sys,lam0.8_mean,lam0.8_median,lam0.8_p90,lam0.8_p99,lam0.8_max,lam0.8_gini,lam0.8_top1,lam0.8_top10,lam0.8_sys,lam0.9_mean,lam0.9_median,lam0.9_p90,lam0.9_p99,lam0.9_max,lam0.9_gini,lam0.9_top1,lam0.9_top10,lam0.9_sys,lam1.0_mean,lam1.0_median,lam1.0_p90,lam1.0_p99,lam1.0_max,lam1.0_gini,lam1.0_top1,lam1.0_top10,lam1.0_sys
0,1751,0.8469171608279166,0.8545073679109623,0.5765765765765766,0.3333333333333333,0.3028571428571429,0.1952835127657011,8.620352790702995,28.68936343091831,5.045425445058365,0.2222222222222222,0.2,0.1332529752266122,1.159765532734219,2.445276340312564,0.6853218618527821,29.50425,0.0011422044545973,0.0079954311821816,0.3807,28.376875,1.3969801588176582,198874.0,11.157774522301777,4.387009187897934,6.577914327386518,2.4975239044379185,1.374722271739112,0.7649316359303822,0.7822310083739294,0.4734731141986647,1.1305792577832383,0.5242521313766226,1.20292165353818,0.6261389881122783,5.90119050642046,1.4876341045452468,1.1582878097612568,0.6022577742613957,1.318905594543612,0.5985617335444192,7.178902274109434,1.5281309138427348,1.2471303448997373,0.7152933261538084,1.3969801588176582,0.5668062950717754,9.984266135183647,1.5506874226278666,1.3026613131774156,0.7742954074445012,1.4229751447264951,0.5466442657942101,12.436109670189827,1.5570005847076362,1.3612730653880645,0.8181919096364821,1.443731825021486,0.5325987235745075,15.59980666161011,1.560752042788419,1.115750249930016,0.6538033501179836,2.3075547752059613,9.314945165264191,23.618348709509124,0.5603633581797787,0.1237239238659555,0.4359789342285488,1.2328840849153089,1.1796426471542647,0.6872385269133904,2.4197637349284604,9.741228188452522,24.91809490411811,0.5633599841329792,0.1242496947975148,0.4385448538134898,1.3125187671040257,1.2471303448997373,0.7152933261538084,2.5533646421442158,10.095363659019393,26.31945459824245,0.5668062950717754,0.1249096536523749,0.4414001973342715,1.3969801588176582,1.31840383636501,0.7459460917120684,2.7008169929721126,10.832887364618838,27.82727672723213,0.5706329853870677,0.1260832363334155,0.4447139928704056,1.4865365140439772,1.3936637436313677,0.7775307959047051,2.891235263893285,11.580187333377824,29.44685066746014,0.5747759589444615,0.1277177261129136,0.4482939028264804,1.581470493055508,1.473121367781153,0.8127915504386749,3.0822198803495637,12.016470719258518,31.18396232090512,0.5791856669095551,0.1294056133725548,0.452109291044219,1.6820799506518789
1,1740,0.8614865062468385,0.8707073030022503,0.6415094339622641,0.3529411764705882,0.2528735632183908,0.1751580458334805,8.576970452027066,24.58821665830447,5.079597191819351,0.0588235294117647,0.1839080459770115,0.1157155427454549,1.1707583919728064,2.068239141979048,0.6867445409252474,28.1155,0.0,0.0126436781609195,0.3627806451612903,26.98325,1.3805011389560633,208332.0,10.95189565337196,3.4427914339924803,7.044589377829431,2.007722286787136,1.3828205852003654,0.6507044417852115,0.8490633748436502,0.3865728120792631,1.0675346379788262,0.6305144579581312,1.147595897270417,0.5650301362570218,5.547392079320345,1.463895132042869,1.1300466549545078,0.6493973228813383,1.287315348836526,0.5778428518987339,6.959923918140797,1.5271081139341287,1.232653616111168,0.7258909376361385,1.3805011389560633,0.5569838683900152,9.68119432832206,1.5580168452904533,1.29319992868068,0.7818043723908086,1.4109946836555851,0.542293621308982,12.074381456220236,1.5637456503546407,1.357071671030313,0.8204234503465491,1.4365705774960098,0.5322185921743722,15.205066462838404,1.5709073108320348,1.1034930641268783,0.650168323638564,2.3535853096708608,8.37556686883061,18.881353129783875,0.5507903881644748,0.1209628695549871,0.4184297175011758,1.218934946560554,1.1662842722410052,0.6896232158617542,2.4988095593441053,8.791787857670156,19.82112412877918,0.5536492918121594,0.1208612404109963,0.420139875325152,1.2973121716167078,1.232653616111168,0.7258909376361385,2.659927661940372,9.33860665854214,21.218247630616798,0.5569838683900152,0.1207794884374075,0.4224346388053178,1.3805011389560633,1.3027970465903995,0.7626074899462966,2.8234727421121666,9.97894313043748,22.86533004400573,0.5607268625754782,0.1207110576517295,0.4252610471711726,1.4687809618769234,1.3769205807361182,0.8033843904346615,3.013141699924862,10.61333477943704,24.626261184675545,0.5648161966618739,0.1207205839824892,0.4283705446903716,1.5624451902827676,1.455240730123074,0.8391797120112494,3.2598572198962623,11.18896130664396,26.508591504113284,0.569194520649307,0.1208078560033004,0.4319296040706795,1.6618024100772648
2,1748,0.8594701533885828,0.8644294885500556,0.6203703703703703,0.3529411764705882,0.3085714285714285,0.1885986704517312,8.928265251742797,28.154197357987677,5.238659918578818,0.2352941176470588,0.2057142857142857,0.1357928745195345,1.138276645803181,2.4264990124898675,0.6962353615311658,28.81275,0.0,0.0051487414187643,0.3717774193548387,27.43175,1.4131381227420494,201727.0,11.49605224847326,4.297666054406699,7.119869368667782,2.5735414094215745,1.3487651374023244,0.743529246187281,0.8271644477054394,0.442747060096204,1.1074714631267637,0.5858167006186231,1.19165870976442,0.6097150533517749,5.860665040806114,1.5005126835993865,1.1211232326016556,0.6290741073218352,1.3338507176690673,0.5869878468275379,7.3244132704555,1.5574171611506271,1.2267129638823586,0.7250805449816262,1.4131381227420494,0.5572894232093547,10.248123291073108,1.5724824010530016,1.287766613196369,0.7836155822466502,1.437189294043102,0.5413601146492367,12.655377921506927,1.573286219389881,1.34639090638018,0.8300575048362957,1.455782537237985,0.5285627164088169,15.80699517596077,1.575249724480083,1.0957747490568632,0.6587425303977983,2.263307952957539,7.887103038833241,22.219151779644843,0.550175612694208,0.1239734051340118,0.4254933374163228,1.24244698025654,1.159389383179137,0.6931985507835596,2.409709469108649,8.336910650753147,23.445137780192635,0.5534851099723793,0.1235052854600615,0.4269463533179781,1.3251486993815715,1.2267129638823586,0.7250805449816262,2.652288314984727,8.929800864401656,24.735061585320096,0.5572894232093547,0.1231001504476675,0.4287422730417692,1.4131381227420494,1.2979565151968622,0.7555882190021906,2.85621773769948,9.699116007266952,26.09080254994116,0.5614920406834044,0.122751925328092,0.4310055533913932,1.5067414425700472,1.3733423357502068,0.7901370005744306,3.0828316001775096,10.415340526792354,27.514385702061052,0.5660277324844334,0.1225477655543671,0.4335142889532157,1.6063037522625954,1.4531045812561296,0.8228460995901155,3.236260687651773,11.48902296860693,29.00799497610875,0.5708346133989445,0.122437498789108,0.4363541431187303,1.7121900829062449
3,1735,0.8568145581105769,0.8521154338309183,0.5963302752293578,0.2941176470588235,0.3160919540229885,0.1930724490270157,8.17625001632221,26.56649862407665,4.866398940824445,0.1764705882352941,0.2068965517241379,0.1355032689033072,1.12664074829937,2.3980943544833297,0.6817200921948492,28.62025,0.0005763688760806,0.0161383285302593,0.3692935483870967,27.17,1.384298836509361,209137.0,10.338423260315697,3.7373164031026023,6.576215096187367,2.1668149957656584,1.3034155895781956,0.7717257865414048,0.8349711221805313,0.4258282476596736,1.1156713050648506,0.5958319910747822,1.1806243765763202,0.600204814034809,5.684957911028212,1.4657011226922794,1.1158677407930289,0.62755102346437,1.3032392088821323,0.5716702766333281,7.040920094909496,1.5257157584757084,1.2138470763315838,0.7113456089831962,1.384298836509361,0.5543751869529744,9.437598479908829,1.548390861715538,1.2764967312981046,0.7573302328171876,1.4116136916741084,0.5401224911170078,11.773822325302271,1.5551634769247815,1.3355108826189137,0.8325634380455195,1.4333304289421167,0.5237261293544255,14.905220786123603,1.5595102947236248,1.0885343275102746,0.6411152040763594,2.337117724579464,7.276334482392729,21.666349665286116,0.548887149561624,0.1193830172303392,0.419870695109908,1.222704616802581,1.1494888578752926,0.6779071614470562,2.4306715041282208,7.999509682347243,22.82594823764597,0.5513798590245537,0.1192602616850863,0.4210525241471992,1.3011102670652166,1.2138470763315838,0.7113456089831962,2.565974068994456,8.951129221779095,24.04772301153788,0.5543751869529744,0.1192091767412121,0.4225211088202426,1.384298836509361,1.281791694424878,0.7447573536822107,2.707674423534589,9.965395923597017,25.33444394667244,0.5577989831454155,0.1192251908079953,0.4242706333396645,1.4725465845528405,1.3535149028622495,0.7760415948497837,2.899124351707345,11.043517158278789,26.688961496595336,0.5615854809437152,0.1193038827724185,0.4264894632804362,1.566145103464169,1.4292187824189646,0.8144639876182914,3.027069080302072,11.823183488147896,28.114208375989453,0.5656794375153168,0.1196631212968831,0.4290578783551164,1.665401990901474
4,1714,0.8425592895101318,0.8490594697927127,0.5405405405405406,0.5294117647058824,0.2865497076023391,0.1980534492006228,8.092420845220873,27.03126226940909,4.8210819496535775,0.2352941176470588,0.1871345029239766,0.1242934122007969,1.139348736618384,2.187243067656881,0.6692268915963978,27.49025,0.0005834305717619,0.0215869311551925,0.3547129032258064,26.314,1.3641540767260458,212230.0,10.330999657729713,4.0088516924213975,6.276115338908275,2.115396206711823,1.3320389814623896,0.7358226133729552,0.8158918567397403,0.456801565019291,1.098048692618131,0.6098157287391093,1.1152140109668065,0.5773870347045253,5.619939518378835,1.4445217328934288,1.1192466027832746,0.5796820715958618,1.270574063570485,0.5877317199746697,6.749581052992986,1.5184647007461172,1.2114908200854446,0.6968120671881584,1.3641540767260458,0.5521766432297757,9.396261736734411,1.543086386582618,1.2664120732599171,0.7595982796589683,1.3970691007135874,0.5369427515446522,11.653205993917632,1.5492751473148323,1.3319737118380504,0.8429727481417193,1.4240334927600082,0.5201009351478368,14.809866059258432,1.557134050433889,1.087107981280995,0.6411153487543957,2.283716861119585,6.702543372140442,28.1322364329544,0.5450989392469915,0.1207331027054497,0.4118915295324502,1.2058261303866165,1.1475752463205109,0.6652315275715577,2.414502290187563,7.132999986232962,30.045982664071317,0.5484076876427074,0.1215505787489115,0.4141042056385206,1.2825627858277369,1.2114908200854446,0.6968120671881584,2.5495907956244834,7.614861967203113,32.0823549507347,0.5521766432297757,0.1224220104107956,0.4170161923705511,1.3641540767260458,1.2790644215457865,0.7250796648314647,2.664613799261864,8.1292826283592,34.248427981904825,0.5563522959350305,0.1233438891120677,0.4203437812641826,1.4509313026325836,1.3505182258950612,0.7609782832778953,2.824147266787773,8.73209037564953,36.5516008817921,0.5608823182209215,0.1243127050253861,0.4239994056717335,1.5432478920233912,1.4260876109430618,0.7907871861233455,3.021443949011696,9.621763348702752,38.9996051830137,0.5657293836361695,0.1253249708845114,0.4280432557663701,1.641480861587315
5,1753,0.8553419160349957,0.8590087132622097,0.5350877192982456,0.3333333333333333,0.3085714285714285,0.1857612385911869,8.66232994978858,26.893231230942774,5.135965720559849,0.2222222222222222,0.1885714285714285,0.1282268245657706,1.1653642913264293,2.3326094514670155,0.7215759563957056,29.114,0.0,0.0154021677124928,0.3756645161290322,27.8525,1.4157101585218188,202067.0,11.147185805357932,3.927745254952084,7.057181103937634,2.1464654299638504,1.3851071727315836,0.7062889298264144,0.8765832348189816,0.4031605796550661,1.2121751000401415,0.6076584551888518,1.2127585838670163,0.6182066640645398,5.620274659872806,1.495777972719772,1.1667182206541395,0.6490353573363434,1.3396032445197388,0.5782178367992131,7.123940524394917,1.553636655469684,1.2452669834067889,0.749634185056693,1.4157101585218188,0.5494171100794872,9.910309501265194,1.5668084916772986,1.308105498743857,0.8034192239809821,1.4397401800661456,0.5332914642011065,12.274533479513408,1.5692271897159489,1.36536485449223,0.8559279686589137,1.4599897758891007,0.5211246524536668,15.534198917859838,1.5755310875663593,1.1116665088126525,0.6805151401700819,2.248606121214807,8.041777042021831,20.310601437325555,0.5422512502681538,0.1131717171739883,0.4199596732701839,1.244494723761821,1.1765727407396314,0.7158646777197367,2.4182521940933244,8.423058936926358,21.930618890642627,0.5456072818101078,0.112927567494933,0.4217695478173022,1.3274291519746988,1.2452669834067889,0.749634185056693,2.5757855552506945,9.032861422584542,23.68741770172,0.5494171100794872,0.1132902929856584,0.424104611767243,1.4157101585218188,1.3179724900086054,0.7908763730600725,2.746122304131925,9.87269121513833,25.59245877037831,0.5536093526123398,0.1140041492874436,0.4268749937307706,1.5096843643457265,1.394925653162944,0.8314329901842255,2.898268875881876,10.646295652945389,27.65824069771936,0.5581220720706083,0.115146285699087,0.4300642300830156,1.6097205008026252,1.476376735285822,0.8659647452391155,3.1011739026249754,11.400881146120016,29.898339949445063,0.5629053886782146,0.1163568346311375,0.433558682708884,1.716210727077767
6,1776,0.8620281556696463,0.8741009358896791,0.5545851528384279,0.3888888888888889,0.2808988764044944,0.1920984821153845,9.361841667085494,30.71891607147313,5.520404808878766,0.3333333333333333,0.1853932584269663,0.1317542940418583,1.133388922705619,2.373450531093485,0.6901585816475053,31.76325,0.000563063063063,0.0056306306306306,0.4098483870967742,30.568125,1.400360265957258,191521.0,11.852412360227111,4.9991646772420255,7.427755516838324,2.710441051311633,1.3283666226940856,0.7498555434821467,0.8139869802055092,0.4780614533784963,1.0744940713058655,0.592741301830686,1.1971375388287817,0.5948721500738333,6.011724115821314,1.4779210828333738,1.1279232804790276,0.6144653634121695,1.3259520090357264,0.5792101133437281,7.683035637600378,1.5368058095898356,1.2171768692183127,0.7240606515623936,1.400360265957258,0.5504957778190219,10.804887234949524,1.5601203031927118,1.2786225024711568,0.7641942938800189,1.4267777425921917,0.5348456827556809,13.283475642743714,1.5666672233457954,1.33586518406088,0.816279964496128,1.4463570004712754,0.5222217235265881,16.595855876483604,1.570981541205118,1.085855463277951,0.6500428137861025,2.239515173792576,8.687479878463288,23.75415551040373,0.5429882547552619,0.1280287203045902,0.4184244773894095,1.2348196488640035,1.1496324038312336,0.6820142730368449,2.3839407988458463,9.209615906192475,25.96586873354773,0.5465077442537378,0.1285049928842941,0.4208546281093415,1.3150057134842823,1.2171768692183127,0.7240606515623936,2.538848995289153,9.764267115579356,28.390187768530076,0.5504957778190219,0.1290337122224861,0.4238485352472608,1.400360265957258,1.288714227956375,0.7595303480086883,2.713967031512411,10.40383870831073,31.04604550961814,0.5548786562038792,0.1296087344513264,0.4272285487117769,1.491216383490032,1.3644824889556206,0.7896689981916172,2.877103728371729,11.202117075497446,33.95393347222092,0.5595895583437549,0.1303310335884851,0.4309628110086833,1.587926794989433,1.4447329780292142,0.8205630208202586,3.071509379748739,11.7889140008113,37.13601566403104,0.5645738170562714,0.1312596994381195,0.4349476548419271,1.6908649592760534
7,1517,0.8367939287965165,0.8390040061118065,0.4757281553398058,0.3333333333333333,0.3026315789473684,0.2014419791873652,7.063322048607266,20.932096189137933,4.027952366143119,0.1333333333333333,0.1710526315789473,0.1311138317774196,1.1179880797195896,1.9819058018609808,0.6566719602102772,23.51525,0.003295978905735,0.056690837178642,0.3034225806451613,22.31175,1.32748944790171,253442.0,8.68606329170839,2.1121829342471083,5.102709997689272,0.9284636080051796,1.2785729850552687,0.5887264476683514,0.7675478751663616,0.3030863983274455,1.4590990494059577,0.5701921672311466,1.0269349204288931,0.7029030497316031,5.183366891780731,1.4045907930276416,1.4711271520418128,0.5969962137778081,1.1906809858564371,0.6863339835279036,6.275944153853803,1.4929932476840768,1.1857574989251436,0.6928411110443796,1.32748944790171,0.5725261003441146,8.151248299578358,1.5524725261092742,1.24245222575377,0.730540466370527,1.3825434786507351,0.5568893084150768,10.027770322198649,1.5670394576017794,1.3143311515857865,0.7746504372910386,1.4215013699623873,0.5422958863775605,12.908244894356216,1.574730681754084,1.062074689541598,0.6232555587634029,2.281286609300272,7.548182589622465,29.200618573015767,0.564805358133423,0.1267487475451474,0.4227295495565017,1.1696018790012896,1.1220494522855164,0.6544208273198324,2.385125057010304,7.891081102127279,30.8609275183217,0.5684291245408664,0.1272831433640973,0.4251244109355795,1.2459704644127114,1.1857574989251436,0.6928411110443796,2.5494931976558086,8.21518758773493,32.614038256741935,0.5725261003441146,0.1279353191095508,0.4280313173190315,1.32748944790171,1.2534338142937422,0.7201504386326494,2.724614675468544,8.602096526858158,34.464094076403136,0.5770412721025663,0.1286285455191394,0.4315578247502838,1.4144995233181143,1.3253270525756655,0.7560498811429455,2.899174999075616,9.55461999397622,36.41533561375394,0.5819188589569035,0.1296373519376806,0.4356667745686653,1.5073626593049965,1.4017003021203245,0.7830641709713932,3.0726649617173063,10.14476571143469,38.472101910202056,0.5871057765439378,0.1313802309549261,0.4401355797961138,1.6064633868769465
8,1757,0.8674322666663045,0.8739991447870585,0.543859649122807,0.4444444444444444,0.2613636363636363,0.1799068064678555,9.111819606350398,27.268229057254946,5.493644543534705,0.1666666666666666,0.1420454545454545,0.1181458894720801,1.174706348215678,2.146933644023215,0.7001221184281113,31.09125,0.0,0.0079681274900398,0.4011774193548387,29.85675,1.3853138411488923,194320.0,11.572624434412916,4.464337764995595,7.442060717262183,2.7169574309727453,1.3871058419510294,0.7260044968116431,0.869004174421373,0.4561573450346149,1.0983237785920343,0.606399233075577,1.182045130676354,0.5885963961395116,5.74353023505075,1.4689547098282392,1.1374980466337854,0.6475609657779466,1.3083507755229704,0.5692209460669623,7.219515707071144,1.5286626490248705,1.241107757149602,0.7302372064499595,1.3853138411488923,0.5470032797797469,10.3518703372033,1.5462242780299411,1.2951438026941398,0.7924965069795971,1.410868016183812,0.5333773913336886,12.802970426296126,1.5532857138750165,1.3526332987457053,0.8425841384494941,1.434787499615004,0.5213731458624642,15.95680192635999,1.5599841848850542,1.1092018124112832,0.6688063694119692,2.3173882820112373,6.797547811244967,24.02853788722644,0.5408212848096966,0.1186758192762637,0.4081250812718981,1.2231497877256885,1.1733511558940464,0.698326781546404,2.451304102754668,7.113075036819745,25.674148029258976,0.5436642202811218,0.1181878968708159,0.4088766815484234,1.301814925203295,1.241107757149602,0.7302372064499595,2.634885040676833,7.442946307321169,27.415872052314747,0.5470032797797469,0.1177324735179237,0.4103993474443159,1.3853138411488923,1.3126702247032895,0.7682984506084428,2.789567083577156,7.787556036216131,29.258308383569407,0.5507637598398177,0.1173053896318161,0.4126405577459459,1.4739325569593198,1.388247442775652,0.8076103892619916,2.993142909072064,8.46434890208416,31.206204251634336,0.5548748545221194,0.1170567818777434,0.4153405990257738,1.5679727696053525,1.4680590365336037,0.8363707696270748,3.1928139668131346,9.345834240216016,33.26445979989172,0.5592781114564372,0.1174958436348907,0.4184669417664995,1.6677525761004994
9,1770,0.8670652280811006,0.8704579171146009,0.5874439461883408,0.3888888888888889,0.3163841807909605,0.1847104584974437,9.0975251159045,28.85565347931849,5.155892336498971,0.2222222222222222,0.1977401129943503,0.1255126048557597,1.1649075638027122,2.340740609702154,0.6985526914924978,29.785875,0.0,0.0073446327683615,0.3843338709677419,28.882,1.412849528635354,193569.0,11.54538905446058,5.21718501821269,6.964058082790865,2.670926124225245,1.3513501328431896,0.830722081943182,0.8312306062375954,0.4716395212232039,1.143217940035691,0.6294196075699396,1.215873698863237,0.5919162676289268,5.989905975800527,1.4878932122870236,1.1332182018395691,0.626319011761385,1.345541233493404,0.5824893151768507,7.412882380057587,1.541719148144499,1.243296433529342,0.7254021607001957,1.412849528635354,0.5545968471041058,10.414733673465436,1.5571953541167272,1.3059598644656951,0.7542619120314087,1.437558755171326,0.5436042702156645,12.92828630745259,1.5640098412335166,1.3643326553687434,0.8093349108913579,1.456658969137323,0.5332198586372049,16.049653163484233,1.5686213036304286,1.1102341776916411,0.6604022688285301,2.322378328802377,8.056011731964642,40.33484467918406,0.5476498760674707,0.1287869381829242,0.4166925741595634,1.243810731815215,1.1748283335754477,0.6942270592966808,2.4475459102260477,8.680832957214966,42.52841297112906,0.5508702291182207,0.1288947063586794,0.4182201300931081,1.325641722876602,1.243296433529342,0.7254021607001957,2.5891482291974364,9.310413300969046,44.82884589361785,0.5545968471041058,0.1290698085975796,0.4203984531460097,1.412849528635354,1.315873863985286,0.7571255762362481,2.7523466508459875,9.870382320297509,47.24054427261704,0.5587417970474716,0.1293529261158314,0.423028720858745,1.5057847047771322,1.3928109429820188,0.7861856673059957,2.925484593349168,10.207512924972006,49.768052477648446,0.5632403971203078,0.1298727629015701,0.4260484341410806,1.6048214133451495,1.4743740977979292,0.8189218731787491,3.169964768148501,11.01951147111058,52.41606157986161,0.5680387158393181,0.1304381773818894,0.4293376550641333,1.7103592872638336
